metabolites,species,fluxes
ac,A1R12,0.877485694984767
ac,m_6C06,-10.8774856949848
acald,A1R12,0.343626200149894
acald,m_6C06,-0.343626200149894
ala__D,A1R12,0.672983104446085
ala__D,m_6C06,-0.672983104446085
ala__L,A1R12,1.03857700265104
ala__L,m_6C06,-1.03857700265104
arg__L,A1R12,-0.00286450592299134
arg__L,m_6C06,0.00286450592299134
co2,A1R12,0.317705864881603
co2,m_6C06,10.4021886136108
etoh,A1R12,-1.2899725965088
etoh,m_6C06,1.2899725965088
glu__L,A1R12,-0.045989340449608
glu__L,m_6C06,0.045989340449608
gly,A1R12,-0.0215874249390804
gly,m_6C06,0.0215874249390804
glyc,A1R12,-0.0194187213487771
glyc,m_6C06,0.0194187213487771
h2s,A1R12,0.0511591228103287
h2s,m_6C06,-0.0511591228103287
leu__L,A1R12,0.0936694400213772
leu__L,m_6C06,-0.0936694400213772
pyr,A1R12,-2.11693970212993
pyr,m_6C06,2.11693970212993
thr__L,A1R12,-0.00443299564657897
thr__L,m_6C06,0.00443299564657897
ura,A1R12,-0.00320348162491183
ura,m_6C06,0.00320348162491183
val__L,A1R12,0.0879791791870615
val__L,m_6C06,-0.0879791791870615
